"Type, Response(s)",Type, xreg, lambda,W1 FC,W2 FC,W3 FC,W4 FC,W5 FC,W6 FC
NNAR DF,"NNAR (25, 1, 14)[52]",,,556.09,697.86,729.48,713.77,731.58,722.26
NNAR DF,"NNAR (25, 1, 7)[52]",,,510.16,648.65,714.11,736.12,738.68,714.78
NNAR DF,"NNAR (25, 1, 3)[52]",,,474.07,564.54,610.12,671.38,736.58,744.88
NNAR log(DF),"NNAR (2, 1, 2)[52]",,0,454.28,452.99,451.95,451.01,450.09,449.17
NNAR DHF,"NNAR (11, 1, 6)[52]",,,0.48,0.38,0.47,0.36,0.42,0.32
NNAR DHF," NNAR (11, 1, 2)[52]",,,0.59,0.57,0.59,0.57,0.62,0.58
NNAR CHK," NNAR (2, 1, 2)[52]",,,0.22,0.36,0.55,0.63,0.69,0.84
NNAR CHK," NNAR (2, 1, 1)[52]",,,0.18,0.29,0.43,0.54,0.66,0.78
NNAR MAL," NNAR (23, 1, 12)[52]",,,0.98,0.99,1.23,0.39,0.55,1.86
NNAR MAL," NNAR (23, 1, 6)[52]",,,0.91,0.99,0.68,0.49,0.95,1.61
NNAR MAL," NNAR (23, 1, 3)[52]",,,1.21,1.33,0.95,1.08,0.94,1.42
NNAR MAL,"NNAR (5, 1, 4)[52]",,2,2.22,2.31,2.33,2.38,2.44,2.44
NNARX DF,"NNARX (25, 1, 14)[52]", MAL              ,,583.24,699.37,679.25,693.23,678.23,680.96
NNARX DF,"NNARX (25, 1, 5)[52]", MAL              ,,520.8,650.84,725.27,784.35,804.59,786.78
NNARX log(DF) ,"NNARX (2, 1, 2)[52]", MAL,0,451.86,465.57,457.85,468.46,474.98,468.6
NNARX DF,"NNARX (25, 1, 14)[52]"," (MAL, CHK)",,520.8,650.84,725.27,784.34,804.59,786.78
NNARX MAL,"NNAR (23, 1, 13)[52]", DF              ,,0.88,0.76,1.62,0.71,0.26,1.98
NNARX MAL,"NNAR (23, 1, 14)[52]"," (DF, CHK)",,0.88,0.76,1.62,0.71,0.26,1.98
NNARX MAL,"NNAR (5, 1, 4)[52]", DF  ,2,2.42,2.48,2.49,2.5,2.55,2.55
NNARX MAL,"NNAR (5, 1, 4)[52]"," (DF, CHK)",2,0.98,0.99,1.23,0.39,0.55,1.86
ARIMA DF,"ARIMA (0, 1, 0) w/ drift",,,459.73,460.45,461.18,461.9,462.63,463.35
ARIMA log(DF),"ARIMA (1, 1,  0)(1, 0, 0)[52]",,0,441.8,449.09,446.62,450.94,443.67,436.98
ARIMA DHF,"ARIMA (2, 1, 1)",,,0.2,0.17,0.13,0.14,0.15,0.15
ARIMA CHK,"ARIMA (1, 0, 2)(2, 0, 0)[52]",,,0.18,0.63,0.99,1.39,1.77,1.98
ARIMA MAL,"ARIMA (1, 1, 2)",,,0.39,0.69,0.46,0.63,0.51,0.6
ARIMAX DF,"ARIMA (1, 0, 0), zero mean", Time,,119.58,115.18,110.99,107,103.21,99.61
ARIMAX DF,"ARIMA (0, 1, 0) w/ drift", MAL,,459.14,460.45,458.84,461.31,461.45,461
"VAR DF, DHF, CHK", VAR(4)                          , CHK           ,,,,,,,
                           , VAR Series DF                   ,         ,            ,214.8,219.63,227.55,233.85,243.58,253.82
                           , VAR Series DHF                  ,         ,            ,0.28,0.36,0.14,0.17,0.24,0.26
                           , VAR Series CHK                  ,         ,            ,-0.04,-0.04,-0.51,-0.51,-0.53,-0.54
