"Type, Response(s)",Type, xreg, lambda,W1 Low,W1 High,W1 Width,W2 Low,W2 High,W2 Width,W3 Low,W3 High,W3 Width
NNAR DF,"NNAR (25, 1, 14)[52]",,,451.04,661.15,210.11,546.87,848.85,301.98,527.53,931.44,403.91
NNAR DF,"NNAR (25, 1, 7)[52]",,,406.00,614.31,208.31,505.00,792.29,287.29,520.39,907.82,387.43
NNAR DF,"NNAR (25, 1, 3)[52]",,,399.57,548.58,149.01,477.81,651.27,173.45,509.47,710.76,201.29
NNAR log(DF),"NNAR (2, 1, 2)[52]",,0,366.19,563.54,197.35,357.73,573.60,215.87,348.02,586.92,238.89
NNAR DHF,"NNAR (11, 1, 6)[52]",,,0.14,0.82,0.68,0.05,0.71,0.66,0.14,0.79,0.65
NNAR DHF," NNAR (11, 1, 2)[52]",,,0.36,0.82,0.46,0.36,0.78,0.42,0.39,0.79,0.40
NNAR CHK," NNAR (2, 1, 2)[52]",,,-1.15,1.59,2.74,-1.07,1.80,2.87,-0.64,1.74,2.38
NNAR CHK," NNAR (2, 1, 1)[52]",,,-0.42,0.78,1.20,-0.23,0.81,1.03,-0.06,0.91,0.97
NNAR MAL," NNAR (23, 1, 12)[52]",,,-0.23,2.19,2.43,-0.15,2.13,2.28,0.13,2.32,2.19
NNAR MAL," NNAR (23, 1, 6)[52]",,,-0.38,2.19,2.58,-2.36,4.35,6.71,-0.56,1.93,2.49
NNAR MAL," NNAR (23, 1, 3)[52]",,,0.02,2.40,2.38,0.19,2.47,2.28,-0.12,2.01,2.14
NNAR MAL,"NNAR (5, 1, 4)[52]",,2,1.66,2.66,1.00,1.84,2.71,0.87,1.89,2.71,0.82
NNARX DF,"NNARX (25, 1, 14)[52]", MAL              ,,470.14,696.35,226.21,542.62,856.13,313.51,473.21,885.29,412.08
NNARX DF,"NNARX (25, 1, 5)[52]", MAL              ,,426.42,615.17,188.75,523.92,777.76,253.83,563.24,887.30,324.06
NNARX log(DF) ,"NNARX (2, 1, 2)[52]", MAL,0,365.52,558.59,193.07,369.23,587.04,217.81,354.82,590.81,235.99
NNARX DF,"NNARX (25, 1, 14)[52]"," (MAL, CHK)",,405.20,636.39,231.19,496.69,805.00,308.31,522.00,928.53,406.52
NNARX MAL,"NNAR (23, 1, 13)[52]", DF              ,,-114.72,116.48,231.19,-153.40,154.91,308.31,-201.64,204.88,406.52
NNARX MAL,"NNAR (23, 1, 14)[52]"," (DF, CHK)",,-0.19,1.95,2.13,-0.25,1.77,2.02,0.70,2.54,1.85
NNARX MAL,"NNAR (5, 1, 4)[52]", DF  ,2,1.91,2.84,0.93,2.04,2.84,0.81,2.10,2.83,0.74
NNARX MAL,"NNAR (5, 1, 4)[52]"," (DF, CHK)",2,1.13,2.15,1.03,1.20,2.12,0.92,1.36,2.25,0.89
ARIMA DF,"ARIMA (0, 1, 0) w/ drift",,,386.55,532.90,146.36,356.96,563.94,206.98,334.42,587.93,253.50
ARIMA log(DF),"ARIMA (1, 1,  0)(1, 0, 0)[52]",,0,298.47,653.94,355.47,280.46,719.09,438.63,254.92,782.48,527.56
ARIMA DHF,"ARIMA (2, 1, 1)",,,-2.26,2.65,4.91,-2.40,2.75,5.15,-2.47,2.74,5.21
ARIMA CHK,"ARIMA (1, 0, 2)(2, 0, 0)[52]",,,-9.92,9.53,19.45,-10.39,11.65,22.04,-12.09,14.07,26.15
ARIMA MAL,"ARIMA (1, 1, 2)",,,-3.33,4.11,7.44,-3.21,4.58,7.79,-3.50,4.43,7.94
ARIMAX DF,"ARIMA (1, 0, 0), zero mean", Time,,72.20,166.96,94.76,49.57,180.78,131.22,32.28,189.69,157.40
ARIMAX DF,"ARIMA (0, 1, 0) w/ drift", MAL,,411.28,507.00,95.73,392.76,528.14,135.38,375.93,541.74,165.80
"VAR DF, DHF, CHK", VAR(4)                          , CHK           ,,,,,,,,,,
                           , VAR Series DF                   ,         ,            ,133.96,295.63,161.67,107.78,331.49,223.71,88.27,366.83,278.56
                           , VAR Series DHF                  ,         ,            ,-1.54,2.10,3.64,-1.50,2.23,3.73,-1.76,2.03,3.79
                           , VAR Series CHK                  ,         ,            ,-9.17,9.10,18.27,-10.77,10.69,21.45,-13.27,12.25,25.52
