"Type, Response(s)",Type, xreg, lambda,W4 Low,W4 High,W4 Width,W5 Low,W5 High,W5 Width,W6 Low,W6 High,W6 Width
NNAR DF,"NNAR (25, 1, 14)[52]",,,462.07,965.47,503.40,440.38,1022.77,582.39,390.65,1053.87,663.22
NNAR DF,"NNAR (25, 1, 7)[52]",,,491.87,980.36,488.49,445.41,1031.94,586.54,377.40,1052.16,674.75
NNAR DF,"NNAR (25, 1, 3)[52]",,,550.94,791.81,240.87,591.23,881.93,290.70,575.80,913.96,338.16
NNAR log(DF),"NNAR (2, 1, 2)[52]",,0,337.16,603.31,266.15,324.14,624.99,300.85,317.13,636.19,319.07
NNAR DHF,"NNAR (11, 1, 6)[52]",,,0.04,0.69,0.64,0.10,0.75,0.64,0.00,0.64,0.64
NNAR DHF," NNAR (11, 1, 2)[52]",,,0.38,0.76,0.39,0.44,0.80,0.36,0.40,0.76,0.36
NNAR CHK," NNAR (2, 1, 2)[52]",,,-0.43,1.69,2.12,-0.35,1.72,2.07,-0.14,1.81,1.96
NNAR CHK," NNAR (2, 1, 1)[52]",,,0.08,1.01,0.93,0.21,1.11,0.90,0.27,1.29,1.01
NNAR MAL," NNAR (23, 1, 12)[52]",,,-0.68,1.53,2.21,-0.43,1.53,1.96,0.91,2.81,1.90
NNAR MAL," NNAR (23, 1, 6)[52]",,,-2.91,3.89,6.81,-0.25,2.14,2.39,-1.77,4.99,6.76
NNAR MAL," NNAR (23, 1, 3)[52]",,,0.06,2.11,2.05,-0.02,1.89,1.91,0.47,2.37,1.89
NNAR MAL,"NNAR (5, 1, 4)[52]",,2,1.94,2.75,0.82,2.04,2.78,0.74,2.04,2.79,0.75
NNARX DF,"NNARX (25, 1, 14)[52]", MAL              ,,441.21,945.24,504.02,383.46,973.01,589.55,348.21,1013.71,665.50
NNARX DF,"NNARX (25, 1, 5)[52]", MAL              ,,581.11,987.59,406.48,557.13,1052.05,494.92,500.65,1072.90,572.25
NNARX log(DF) ,"NNARX (2, 1, 2)[52]", MAL,0,353.23,621.27,268.04,351.07,642.62,291.55,340.88,644.18,303.30
NNARX DF,"NNARX (25, 1, 14)[52]"," (MAL, CHK)",,541.18,1027.51,486.34,520.70,1088.48,567.78,454.93,1118.63,663.70
NNARX MAL,"NNAR (23, 1, 13)[52]", DF              ,,-242.46,243.87,486.33,-283.63,284.15,567.78,-329.87,333.83,663.70
NNARX MAL,"NNAR (23, 1, 14)[52]"," (DF, CHK)",,-0.16,1.58,1.73,-0.54,1.06,1.60,1.20,2.77,1.57
NNARX MAL,"NNAR (5, 1, 4)[52]", DF  ,2,2.13,2.82,0.69,2.20,2.86,0.66,2.21,2.85,0.64
NNARX MAL,"NNAR (5, 1, 4)[52]"," (DF, CHK)",2,0.52,1.81,1.29,0.77,1.90,1.14,1.80,2.49,0.68
ARIMA DF,"ARIMA (0, 1, 0) w/ drift",,,315.54,608.26,292.72,298.99,626.26,327.27,284.10,642.60,358.51
ARIMA log(DF),"ARIMA (1, 1,  0)(1, 0, 0)[52]",,0,239.87,847.73,607.86,221.05,890.48,669.43,205.21,930.50,725.29
ARIMA DHF,"ARIMA (2, 1, 1)",,,-2.60,2.89,5.49,-2.73,3.03,5.76,-2.84,3.13,5.97
ARIMA CHK,"ARIMA (1, 0, 2)(2, 0, 0)[52]",,,-13.24,16.01,29.25,-14.08,17.60,31.68,-14.85,18.80,33.64
ARIMA MAL,"ARIMA (1, 1, 2)",,,-3.47,4.74,8.21,-3.69,4.70,8.38,-3.71,4.91,8.62
ARIMAX DF,"ARIMA (1, 0, 0), zero mean", Time,,17.97,196.04,178.07,5.65,200.77,195.11,-5.16,204.38,209.54
ARIMAX DF,"ARIMA (0, 1, 0) w/ drift", MAL,,365.58,557.04,191.45,354.43,568.48,214.05,343.77,578.25,234.48
"VAR DF, DHF, CHK", VAR(4)                          , CHK           ,,,,,,,,,,
                           , VAR Series DF                   ,         ,            ,68.36,399.34,330.98,58.14,429.02,370.88,51.84,455.79,403.95
                           , VAR Series DHF                  ,         ,            ,-1.75,2.09,3.84,-1.73,2.21,3.94,-1.73,2.25,3.98
                           , VAR Series CHK                  ,         ,            ,-14.75,13.73,28.48,-15.97,14.93,30.90,-17.02,15.94,32.96
