"Type, Response(s)","Type", xreg, lambda, AIC, sigma^2, RMSE (IS), RMSE (FC), MASE, MAE, FC, Width, Low 95, Hi 95
NNAR DF,"NNAR (25, 1, 14)[52]",,,3222.12,113,10.63,160.13,0.06,127.01,556.09,210.11,451.04,661.15
NNAR DF,"NNAR (25, 1, 7)[52]",,,3249.15,240.3,15.5,158.6,0.1,125.2,510.16,208.31,406,614.31
NNAR DF,"NNAR (25, 1, 3)[52]",,,3563.45,645.2,25.4,163.87,0.1,123.19,474.07,149.01,399.57,548.58
NNAR log(DF),"NNAR (2, 1, 2)[52]",,0,-1828.29,0.04,37.33,136.45,0.23,122.98,454.28,197.35,366.19,563.54
NNAR DHF,"NNAR (11, 1, 6)[52]",,,-339.18,0.46,0.68,0.78,0.39,0.65,0.48,0.68,0.14,0.82
NNAR DHF," NNAR (11, 1, 2)[52}",,,-80.65,0.89,0.95,0.74,0.39,0.66,0.59,0.46,0.36,0.82
NNAR CHK," NNAR (2, 1, 2)[52]",,,1225.29,13.99,3.74,0.66,0.19,0.64,0.22,2.74,-1.15,1.59
NNAR CHK," NNAR (2, 1, 1)[52]",,,1297.82,16.25,4.03,0.66,0.2,0.64,0.18,1.21,-0.42,0.78
NNAR MAL," NNAR (23, 1, 12)[52]",,,-1001.9,0.06,0.24,1.03,0.08,0.84,0.98,2.43,-0.24,2.19
NNAR MAL," NNAR (23, 1, 6)[52]",,,-122.78,0.52,0.72,0.93,0.26,0.8,0.91,2.58,-0.38,2.19
NNAR MAL," NNAR (23, 1, 3)[52]",,,242.66,1.36,1.17,1.06,0.45,0.99,1.21,2.38,0.02,2.4
NNAR MAL,"NNAR (5, 1, 4)[52]",,2,536.11,2.8,1.92,2.23,0.72,2.19,2.22,1,1.66,2.66
NNARX DF,"NNARX (25, 1, 14)[52]", MAL              ,,3146.22,98.15,9.91,131.03,0.05,104.21,583.24,226.21,470.14,696.35
NNARX DF,"NNARX (25, 1, 5)[52]", MAL              ,,3363.89,363.9,19.08,201.92,0.12,156.67,520.8,188.75,426.42,615.17
NNARX log(DF) ,"NNARX (2, 1, 2)[52]", MAL,0,-1845.58,0.04,37.29,127.9,0.23,116.48,451.86,193.07,365.52,558.59
NNARX DF,"NNARX (25, 1, 14)[52]"," (MAL, CHK)",,2863.96,65.26,242.2,201.92,0.04,156.67,520.8,231.19,405.2,636.39
NNARX MAL,"NNAR (23, 1, 13)[52]", DF              ,,-1155.28,0.04,0.2,1.13,0.07,0.91,0.88,231.19,116.48,231.19
NNARX MAL,"NNAR (23, 1, 14)[52]"," (DF, CHK)",,-1756.07,0.01,0.12,1.13,0.04,0.91,0.88,2.13,-0.19,1.95
NNARX MAL,"NNAR (5, 1, 4)[52]", DF  ,2,512.77,2.68,1.91,2.37,0.71,2.33,2.42,0.93,1.91,2.84
NNARX MAL,"NNAR (5, 1, 4)[52]"," (DF, CHK)",2,394.23,2.42,1.9,1.61,0.67,1.54,1.72,1.02,1.13,2.15
ARIMA DF,"ARIMA (0, 1, 0) w/ drift",,,5243.48,1394,37.27,129.32,0.21,117.75,459.73,146.36,385.55,532.91
ARIMA log(DF),"ARIMA (1, 1,  0)(1, 0, 0)[52]",,0,-193.23,0.04,38.8,140.3,0.21,125.65,441.8,335.47,298.47,653.94
ARIMA DHF,"ARIMA (2, 1, 1)",,,1715.88,1.57,1.25,0.91,0.62,0.68,0.2,4.91,-2.26,2.65
ARIMA CHK,"ARIMA (1, 0, 2)(2, 0, 0)[52]",,,2496.33,22.76,4.74,1.22,0.25,1.05,0.18,18.7,-9.17,9.53
ARIMA MAL,"ARIMA (1, 1, 2)",,,2147.43,3.6,1.89,0.59,0.75,0.58,0.39,7.44,-3.33,4.11
ARIMAX DF,"ARIMA (1, 0, 0), zero mean", Time,,5246.79,1367,36.9,461.44,0.21,455.57,119.58,144.93,47.11,192.04
ARIMAX DF,"ARIMA (0, 1, 0) w/ drift", MAL,,5244.79,1395,37.24,130.01,0.21,118.14,459.14,146.4,385.94,532.34
"VAR DF, DHF, CHK", VAR(4)                          , CHK           ,,8110.55,            ,           ,            ,      ,         ,         ,        ,            ,                 
                           , VAR Series DF                   ,         ,            ,,,196.87,            ,5.7,         ,214.8,80.83,133.96,295.63
                           , VAR Series DHF                  ,         ,            ,,,0.74,            ,1.18,         ,0.28,1.82,-1.54,2.1
                           , VAR Series CHK                  ,         ,            ,,,1.54,            ,4.05,         ,-0.04,9.13,-9.17,9.1
